Time,Agent,X,Y,Z,Status
1753561198.38,Agent_3,-0.09,-0.36,1.0,moving
1753561198.45,Agent_3,-0.04,-0.34,1.0,moving
1753561198.51,Agent_3,0.01,-0.33,1.0,moving
1753561198.56,Agent_3,0.06,-0.32,1.0,moving
1753561198.62,Agent_3,0.11,-0.31,1.0,moving
1753561198.69,Agent_3,0.16,-0.29,1.0,moving
1753561198.75,Agent_3,0.21,-0.28,1.0,moving
1753561198.82,Agent_3,0.26,-0.27,1.0,moving
1753561198.88,Agent_3,0.31,-0.26,1.0,moving
1753561198.94,Agent_3,0.36,-0.25,1.0,moving
1753561199.00,Agent_3,0.40,-0.23,1.0,moving
1753561199.07,Agent_3,0.45,-0.22,1.0,moving
1753561199.13,Agent_3,0.50,-0.21,1.0,moving
1753561199.18,Agent_3,0.55,-0.20,1.0,moving
1753561199.25,Agent_3,0.60,-0.18,1.0,moving
1753561199.31,Agent_3,0.65,-0.17,1.0,moving
1753561199.37,Agent_3,0.70,-0.16,1.0,moving
1753561199.44,Agent_3,0.75,-0.15,1.0,moving
1753561199.49,Agent_3,0.80,-0.13,1.0,moving
1753561199.56,Agent_3,0.85,-0.12,1.0,moving
1753561199.62,Agent_3,0.90,-0.11,1.0,moving
1753561199.69,Agent_3,0.95,-0.10,1.0,moving
1753561199.75,Agent_3,1.00,-0.09,1.0,moving
1753561199.82,Agent_3,1.04,-0.07,1.0,moving
1753561199.88,Agent_3,1.09,-0.06,1.0,moving
1753561199.94,Agent_3,1.14,-0.05,1.0,moving
1753561200.08,Agent_3,1.19,-0.04,1.0,moving
1753561200.21,Agent_3,1.24,-0.02,1.0,moving
1753561200.33,Agent_3,1.29,-0.01,1.0,moving
1753561200.46,Agent_3,1.34,0.00,1.0,moving
1753561200.58,Agent_3,1.39,0.01,1.0,moving
1753561200.71,Agent_3,1.44,0.03,1.0,moving
1753561200.83,Agent_3,1.49,0.04,1.0,moving
1753561200.96,Agent_3,1.54,0.05,1.0,moving
1753561201.08,Agent_3,1.59,0.06,1.0,moving
1753561201.21,Agent_3,1.64,0.07,1.0,moving
1753561201.33,Agent_3,1.68,0.09,1.0,moving
1753561201.46,Agent_3,1.73,0.10,1.0,moving
1753561201.58,Agent_3,1.78,0.11,1.0,moving
1753561201.71,Agent_3,1.83,0.12,1.0,moving
1753561201.83,Agent_3,1.88,0.14,1.0,moving
1753561201.96,Agent_3,1.88,0.14,1.0,dropped
1753561201.96,Agent_1,1.83,0.14,1.0,moving
1753561202.08,Agent_1,1.78,0.15,1.0,moving
1753561202.21,Agent_1,1.73,0.16,1.0,moving
1753561202.34,Agent_1,1.68,0.17,1.0,moving
1753561202.46,Agent_1,1.63,0.18,1.0,moving
1753561202.59,Agent_1,1.59,0.19,1.0,moving
1753561202.71,Agent_1,1.54,0.20,1.0,moving
1753561202.84,Agent_1,1.49,0.21,1.0,moving
